Provinsi,split,jumlah_fitur,jumlah_sumber_signifikan,MAE_model,MAE_naif,menang_vs_naif
Bali,val,8,1,5137.117841311132,5625.581395348837,True
Bali,test,8,1,6005.103853560658,6273.109243697479,True
DI Yogyakarta,val,16,3,4764.689043892573,4932.170542635659,True
DI Yogyakarta,test,16,3,3853.5472981241323,3674.36974789916,False
DKI Jakarta,val,20,4,6157.437316035068,6334.913793103448,True
DKI Jakarta,test,20,4,6093.117176894277,5987.81512605042,False
Gorontalo,val,8,1,4934.964414903535,5300.775193798449,True
Gorontalo,test,8,1,8771.305323737613,9313.44537815126,True
Jambi,val,12,2,2966.742629944098,3393.119266055046,True
Jambi,test,12,2,5815.436210627016,6274.36974789916,True
Jawa Barat,val,8,1,5094.975492842699,5417.054263565891,True
Jawa Barat,test,8,1,5085.501499134231,5130.252100840336,True
Jawa Tengah,val,20,4,4830.169176281365,5380.232558139535,True
Jawa Tengah,test,20,4,5061.89778986863,5569.747899159664,True
Jawa Timur,val,28,6,4670.619886565827,4902.0,True
Jawa Timur,test,28,6,5627.848922434134,6061.764705882353,True
Kalimantan Barat,val,20,4,5046.455872838819,5301.0204081632655,True
Kalimantan Barat,test,20,4,7508.07192051207,8295.378151260504,True
Kalimantan Selatan,val,16,3,6816.313689868795,6537.619047619048,False
Kalimantan Selatan,test,16,3,5161.532544161925,6681.09243697479,True
Kalimantan Tengah,val,20,4,6357.894198584625,6431.958762886598,True
Kalimantan Tengah,test,20,4,4692.243939495305,6137.394957983193,True
Kalimantan Timur,val,20,4,4733.57401155216,4110.78431372549,False
Kalimantan Timur,test,20,4,4718.922242407782,5600.8403361344535,True
Kalimantan Utara,val,20,4,2953.41862814535,3400.0,True
Kalimantan Utara,test,20,4,2849.6519748809083,3881.09243697479,True
Kepulauan Bangka Belitung,val,20,4,4547.842647328834,5235.714285714285,True
Kepulauan Bangka Belitung,test,20,4,4262.237592326518,4916.3865546218485,True
Lampung,val,20,4,4790.171660229005,4915.929203539823,True
Lampung,test,20,4,5215.12513193488,5085.714285714285,False
Maluku,val,16,3,4268.348226359821,4752.293577981652,True
Maluku,test,16,3,4183.63786609066,5528.571428571428,True
Maluku Utara,val,8,1,2492.310401624926,2491.5730337078653,False
Maluku Utara,test,8,1,3752.713232152644,4075.63025210084,True
Nusa Tenggara Barat,val,8,1,5024.515214339223,5215.891472868217,True
Nusa Tenggara Barat,test,8,1,4841.724718424907,5536.9747899159665,True
Papua,val,16,3,3341.940622735483,4130.232558139535,True
Papua,test,16,3,3347.7989429857384,4623.529411764706,True
Papua Barat,val,12,2,3255.7139768113843,3657.7868852459014,True
Papua Barat,test,12,2,6364.279031582785,7500.0,True
Riau,val,12,2,3103.831102317826,3274.770642201835,True
Riau,test,12,2,4661.045988859308,5546.638655462185,True
Sulawesi Barat,val,8,1,3252.568823665791,3428.294573643411,True
Sulawesi Barat,test,8,1,4295.022796922863,4827.310924369748,True
Sulawesi Selatan,val,8,1,3822.8973372426603,3943.0232558139537,True
Sulawesi Selatan,test,8,1,3550.2413362871143,4282.773109243697,True
Sulawesi Tengah,val,16,3,4078.718727511292,3758.119658119658,False
Sulawesi Tengah,test,16,3,5193.782746643977,6132.773109243697,True
Sulawesi Tenggara,val,12,2,3912.6866577809074,4057.3643410852715,True
Sulawesi Tenggara,test,12,2,4062.0153648658024,5065.546218487395,True
Sulawesi Utara,val,8,1,3399.392348989944,3689.5348837209303,True
Sulawesi Utara,test,8,1,6225.238799309595,6544.117647058823,True
Sumatera Barat,val,20,4,3248.6489519313186,3573.0434782608695,True
Sumatera Barat,test,20,4,5682.47115786231,6328.151260504202,True
Sumatera Selatan,val,20,4,2115.648523568552,1972.0183486238532,False
Sumatera Selatan,test,20,4,4000.0998812388193,4515.966386554622,True
Sumatera Utara,val,16,3,2667.011420382879,3195.8715596330276,True
Sumatera Utara,test,16,3,6905.488680507791,7544.117647058823,True
